,notacion_fen,mejor_jugada
0,2rr4/4kppp/4p3/p1N1n3/1P6/5P2/P1P3PP/3R1RK1 w - - 0 19,c3
1,1r1q1rk1/pb2bpp1/1pnp1n1p/2p1p3/P3P1P1/2NPBN1P/1PP2PB1/R2QR1K1 b - - 0 13,Nd4
2,6k1/4b1p1/p2pp2p/Pp2p3/4P3/1P3N1P/1P2RPPK/2r5 b - - 1 29,Kf7
3,2rq1rk1/1p3p1p/p2pb1p1/3Np1b1/4P3/1P2N3/1PP2PPP/R2Q1RK1 w - - 0 17,Kh1
4,r1br2k1/ppp1ppbp/4P1p1/4n3/6n1/2N2N2/PPP1BPPP/R1B2RK1 w - - 0 11,Nxe5
5,rnbqk2r/pp1p1ppp/4pn2/8/1b1NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 6,e5
6,r3k2r/4q1pp/p3pp2/1p2n3/3QN3/8/PPP3PP/2KR3R w kq - 0 18,Nd6+
7,r1bq1rk1/1p1n1pb1/4p1np/p3P1p1/P2PN3/1B6/1P3BPP/RN1Q1RK1 w - - 2 19,Nbc3
8,r1br2k1/pp2qppp/2n1p3/8/2PP2n1/P1N1B3/1PQ2PPP/3RKB1R w K - 3 14,Be2
9,r4k2/B1R1b1pp/4pp2/3q4/8/5Q2/PP3PKP/8 b - - 3 27,Qg5+
10,2r3k1/6pp/p3pp2/8/1r6/1N6/1PP1N1PP/R5K1 w - - 1 26,Nc3
11,6k1/p4pb1/6pp/5q2/N7/8/PP3PPP/3Q3K b - - 0 28,Qxf2
12,3qr2r/p2n1kbp/4pnp1/1Ppp4/2P2B2/2NB3P/P1Q2PP1/4RRK1 w - - 5 29,Bg5
13,5rk1/p3rppp/np1Np1q1/3bP3/1P6/P3P1B1/6PP/2RQ1RK1 w - - 4 21,Rf4
14,r3r1k1/3b1pp1/1p5p/p1nP2q1/8/Q1N5/PP2BPPP/3R1RK1 w - - 0 21,Bf3
15,bq2rbk1/5pp1/2np1n1p/4p3/BpP1P3/5N1P/1P3PP1/2BQRNK1 w - - 2 20,g4
16,r4rk1/1nq1b2p/3p1pp1/1bpPp2n/2N1P3/1P3N1P/1BB2PP1/R2QR1K1 w - - 0 21,Qd2
17,6nr/2k1bp1p/p7/1ppb3p/8/6P1/PPP2PP1/3RR1K1 w - - 0 23,Rxd5
18,r3r1k1/pp3pp1/2n2n1p/2N2b2/3p1B2/6P1/qP1Q1PBP/R4RK1 b - - 3 20,Qc4
19,r5k1/5pbp/2N1q1p1/4N2n/5Q2/4P1P1/5PKP/3R4 w - - 10 34,Qf3
20,r4r1k/pp1bbp2/4pp1p/q7/3P3P/2n2NR1/PP1QBPP1/1K1R4 w - - 0 18,bxc3
