metrica;cota_inferior;cota_superior
weak_count;-50;0
enemy_knight_on_weak;-100;0
center_pawn_count;-30;70
king_pawn_shield;0;100
bishop_mob;0;15
bishop_on_large;0;100
bishop_pair;0;100
knight_mob;0;15
knight_supported;0;100
knight_periphery_zero;-100;0
knight_periphery_one;-60;40
knight_periphery_two;-40;60
knight_periphery_three;-30;70
isopawn;-50;50
doubled_pawn;-50;0
pass_pawn;-20;100
rook_bhd_pass_pawn;0;100
backward_pawn;-70;30
ranked_passed_pawn;-40;40
blocked_pawn;-50;0
blocked_passed_pawn;-50;0
rook_open_file;0;100
rook_semiopen_file;0;100
rook_closed_file;-60;30
rook_on_seventh;0;100
rook_mob;0;10
rook_con;0;100
queen_mob;0;10
pawn;100;100
knight;200;400
bishop;220;420
rook;400;600
queen;800;1000
